,Dynamic Overlap,Static Overlap,No Overlap Static
avg_height,100.0,100.0,100.0
turn_rate,0.0,0.0,0.0
bearing,100.0,100.0,100.0
trajectory_curvature,17.72151898734177,17.72151898734177,11.162790697674419
angular_acceleration,0.0,0.0,0.0
angular_velocity,0.0,0.0,1.8604651162790697
distance_traveled,0.0,0.0,0.0
displacement,22.78481012658228,22.78481012658228,8.372093023255815
jerk,0.0,0.0,0.0
vertical_acceleration,1.2658227848101267,1.2658227848101267,4.186046511627907
up_down_direction,100.0,100.0,98.13953488372093
angle_to_horizon,100.0,100.0,100.0
average_speed,0.0,0.0,0.0
average_velocity_magnitude,0.0,0.0,0.0
average_velocity_direction,100.0,100.0,100.0
